id,SupplierName,Specialization,Address,Phone,Email,LeadTimeInDays,Reliability
1,PainRelief Pharmaceuticals,"Paracetamol, Ibuprofen, Aspirin, Methylprednisolone","150 Analgesic Avenue, Amsterdam, Netherlands 1012",+31 20 555 9876,orders@painrelief.com,3-5,Excellent (99.5% on-time delivery)
2,CancerCare Therapeutics,"Doxorubicin, Paclitaxel, Vincristine, Cisplatin","77 Oncology Plaza, Stockholm, Sweden 11122",+46 8 555 3456,supply@cancercare.com,12-16,High (96% on-time delivery)
3,QuickMeds Express,"Amoxicillin, Paracetamol, Salbutamol, Sodium chloride","99 Rapid Response Road, Dublin, Ireland 4",+353 1 555 7654,express@quickmeds.ie,1-3,Excellent (99.8% on-time delivery)
4,HeartCare Solutions,"Warfarin, Atenolol, Bisoprolol, Apixaban","250 Cardiology Street, Vienna, Austria 1010",+43 1 555 2468,heart@caresoln.com,6-9,High (97% on-time delivery)
5,NeuroMed Distributors,"Phenytoin, Carbamazepine, Levetiracetam, Valproate","88 Brain Boulevard, Copenhagen, Denmark 2100",+45 33 555 8901,neuro@distributors.com,8-12,Moderate (89% on-time delivery)
6,RespiPharm Supply,"Fluticasone, Formoterol, Salbutamol, Ipratropium bromide","333 Breathing Lane, Oslo, Norway 0150",+47 22 555 1357,supply@respharm.no,4-6,High (98% on-time delivery)
7,InfectionControl Ltd,"Ciprofloxacin, Ceftriaxone, Metronidazole, Clarithromycin","666 Antibiotic Way, Helsinki, Finland 00100",+358 9 555 9753,orders@infectioncontrol.fi,7-11,High (94% on-time delivery)
8,BudgetPharm Wholesale,"Ferrous sulfate, Sodium chloride, Paracetamol, Aspirin, Ibuprofen","444 Economy Street, Warsaw, Poland 00001",+48 22 555 4680,wholesale@budgetpharm.pl,14-21,Low (83% on-time delivery)
9,SpecialtyDrugs International,"Oxaliplatin, Dabigatran, Methylprednisolone, Levetiracetam","777 Specialty Circle, Brussels, Belgium 1000",+32 2 555 6789,specialty@intl.com,9-13,High (95% on-time delivery)
10,RapidPharma Solutions,"Amoxicillin, Clarithromycin, Paracetamol, Salbutamol","555 Speed Avenue, Lisbon, Portugal 1200",+351 21 555 1122,rapid@pharmasol.pt,2-4,Excellent (99.2% on-time delivery)
11,EuroPharma Distributors,"Paracetamol, Ibuprofen, Aspirin, Sodium chloride, Ferrous sulfate","10 Rue de Santé, Paris, France 75001",+33 1 555 1234,info@europharma.com,5–7,High (99% on-time delivery)
12,MedOnco Europe,"Oxaliplatin, Cisplatin, Vincristine, Paclitaxel, Doxorubicin","25 Cancer Research Drive, Berlin, Germany 10115",+49 30 555 5678,oncology@medonco.com,10–14,High (95% on-time delivery)
13,Cardiomed Pharma,"Dabigatran, Warfarin, Apixaban, Atenolol, Bisoprolol","18 Heart Street, Zurich, Switzerland 8001",+41 44 555 7890,cardiomed@pharma.com,7–10,High (97% on-time delivery)
14,Antibiotica Europe,"Amoxicillin, Clarithromycin, Ciprofloxacin, Ceftriaxone, Metronidazole","50 Pathogen Lane, Rome, Italy 00186",+39 06 555 4321,sales@antibioticaeurope.com,5–7,High (98% on-time delivery)
15,NeuroPharma Solutions,"Phenytoin, Levetiracetam, Carbamazepine, Valproate, Methylprednisolone","75 Neuro Avenue, Amsterdam, Netherlands 1012",+31 20 555 9876,neuro@pharmasolutions.com,7–10,Moderate (90% on-time delivery)
16,RespiraCare Europe,"Salbutamol, Ipratropium bromide, Fluticasone, Formoterol","125 Pulmonary Lane, Barcelona, Spain 08001",+34 93 555 6543,care@respiracare.com,5–7,High (99% on-time delivery)
