Drug Name,Initial Stock (Doses),Reorder Level (Doses)
Ferrous sulfate,300,150
Acyclovir,200,100
Dabigatran,100,50
Ringer's lactate solution,500,200
Nitroglycerin cream,50,20
Sodium chloride,1000,500
Prednisone,200,100
Paracetamol,2000,1000
Phenytoin,300,150
Warfarin,200,100
Levetiracetam,300,150
Sodium polystyrene sulfonate,100,50
Furosemide,300,150
Heparin,500,200
Sulfinpyrazone,100,50
Carbamazepine,300,150
Potassium chloride,300,150
Formoterol,200,100
Ferrous gluconate,300,150
Probenecid,200,100
Docusate Sodium,300,150
Fluticasone,200,100
Oxaliplatin,50,20
Methimazole,200,100
Atenolol,300,150
Ipratropium bromide,200,100
Metronidazole,300,150
Methylprednisolone,200,100
Sodium bicarbonate,300,150
Apixaban,100,50
Cyclophosphamide,50,20
Diclofenac,300,150
Bisoprolol,300,150
Metoprolol,300,150
Cisplatin,50,20
Magnesium,300,150
Lidocaine,500,200
Fluorouracil,50,20
Pantoprazole,300,150
Paclitaxel,50,20
Salbutamol,500,200
Levothyroxine,300,150
Polyethylene glycol,200,100
Propylthiouracil,200,100
Vincristine,50,20
Valproate,300,150
Doxorubicin,50,20
Omeprazole,300,150
Saline solution,1000,500
Cefazolin,200,100
Ciprofloxacin,300,150
Ceftriaxone,200,100
Amoxicillin,500,200
Amoxicillin-Clavulanate,300,150
Clarithromycin,200,100
Piperacillin-Tazobactam,100,50
Clindamycin,200,100
Levofloxacin,200,100
Azithromycin,200,100
Vancomycin,100,50
Acetaminophen,2000,1000
Ibuprofen,500,200
Tramadol,300,150
Naproxen,300,150
Oxycodone,100,50
